stimulus_left,stimulus_left_number_of_circles,stimulus_right,stimulus_right_number_of_circles,age,choice,latency,ID
dd6ec2e,56,71cd20b,42,43,dd6ec2e,2073,839f706
72f70a5,58,ca7e570,47,43,72f70a5,1458,839f706
461e8e6,56,a067826,40,43,461e8e6,1084,839f706
04ef283,44,f266d1c,46,43,04ef283,1928,839f706
71ed67e,46,8a30726,59,43,8a30726,1160,839f706
5dada13,44,09b8632,42,43,5dada13,1332,839f706
45a12c4,54,f0454b2,53,43,f0454b2,1836,839f706
141e152,55,53b7eea,48,43,141e152,1381,839f706
ad3fb1d,57,78d5230,50,43,ad3fb1d,1232,839f706
701c236,45,005ec59,43,43,701c236,1357,839f706
4dadbd6,59,4bf01f4,40,43,4dadbd6,1058,839f706
5be8cb6,46,f4f3eae,58,43,f4f3eae,837,839f706
847dbfa,49,78d5230,50,43,847dbfa,1712,839f706
29eb961,47,293bea0,58,43,293bea0,1131,839f706
293bea0,58,09b8632,42,43,293bea0,1275,839f706
4c0b7b4,48,d5d52d9,40,43,4c0b7b4,1784,839f706
b5c713b,50,09b8632,42,43,b5c713b,982,839f706
40821ff,53,1ddd049,47,43,40821ff,1242,839f706
4a8deb6,56,c06b20d,52,43,4a8deb6,1061,839f706
b7fbb63,49,d31fb18,44,43,b7fbb63,2155,839f706
5d9c0d2,41,55f2a0a,48,43,55f2a0a,951,839f706
6149c98,55,d291232,42,43,6149c98,1573,839f706
b6ddf20,47,323d673,52,43,b6ddf20,1544,839f706
49e7698,48,f341e75,47,43,f341e75,1964,839f706
3c25a5f,50,26ec773,59,43,3c25a5f,1654,839f706
cd55cee,58,45a12c4,54,43,cd55cee,1823,839f706
c1c0816,54,fca0bd1,46,43,c1c0816,2129,839f706
759f9a5,59,5e4f71f,50,43,759f9a5,1624,839f706
1d6becd,58,79472c9,56,43,1d6becd,2574,839f706
5e4f71f,50,53b7eea,48,43,53b7eea,1344,839f706
d7a6bde,54,d291232,42,43,d7a6bde,1352,839f706
eae368c,47,cc4c0e8,51,43,cc4c0e8,1549,839f706
104993d,40,b0fc39e,42,43,b0fc39e,2498,839f706
fa52683,59,09b8632,42,43,fa52683,2272,839f706
8be5b5f,49,b0fc39e,42,43,b0fc39e,1909,839f706
2d026e6,46,293bea0,58,43,293bea0,1509,839f706
3c25a5f,50,7af7226,41,43,3c25a5f,1155,839f706
bd2dcb2,57,29f7506,50,43,bd2dcb2,1050,839f706
af47f50,52,09b8632,42,43,af47f50,1273,839f706
4dadbd6,59,2d3f366,58,43,4dadbd6,1846,839f706
a3f9317,50,6ae4c8a,59,43,6ae4c8a,1074,839f706
e936988,45,7d632e6,40,43,e936988,2705,839f706
461e8e6,56,c2d2915,50,43,461e8e6,1507,839f706
fd66108,50,9d01df6,43,43,9d01df6,2108,839f706
d555e81,43,9ff2ef4,40,43,d555e81,2637,839f706
03053ee,45,55f2a0a,48,43,55f2a0a,1168,839f706
41f1af4,46,dab6263,54,43,dab6263,941,839f706
141e152,55,b000bdb,56,43,b000bdb,1706,839f706
d291232,42,5266845,55,43,5266845,1548,839f706
1ef3ea4,55,38bab66,59,43,38bab66,1275,839f706
759f9a5,59,9d01df6,43,43,759f9a5,1026,839f706
7264850,43,1cd2ef4,55,43,1cd2ef4,790,839f706
759f9a5,59,5d9c0d2,41,43,759f9a5,869,839f706
141e152,55,8531102,40,43,141e152,898,839f706
fd66108,50,4220ef1,46,43,4220ef1,2320,839f706
67c4ed4,51,55f2a0a,48,43,67c4ed4,1854,839f706
bd2dcb2,57,49e7698,48,43,bd2dcb2,2116,839f706
070af49,51,f341e75,47,43,070af49,1569,839f706
d39e918,57,e2d76fc,47,43,d39e918,1464,839f706
7237f35,43,323d673,52,43,323d673,1133,839f706
2806743,52,45a12c4,54,43,45a12c4,1413,839f706
9b25147,42,7fdf8e3,41,43,9b25147,1939,839f706
3c9e674,58,b1d1730,56,43,3c9e674,2102,839f706
005ec59,43,55f2a0a,48,43,55f2a0a,983,839f706
7416860,44,7b9d268,53,43,7b9d268,1048,839f706
847dbfa,49,72f70a5,58,43,72f70a5,1102,839f706
ffc3c60,45,c85d63b,41,43,ffc3c60,1473,839f706
5e4f71f,50,7af7226,41,43,5e4f71f,1224,839f706
7237f35,43,8a30726,59,43,8a30726,690,839f706
f69aeac,51,bd2dcb2,57,43,f69aeac,1475,839f706
52cb3b6,53,7f70b83,45,43,52cb3b6,927,839f706
5be8cb6,46,9ff2ef4,40,43,5be8cb6,1678,839f706
cd55cee,58,d448c23,57,43,d448c23,1126,839f706
49e7698,48,829b54c,52,43,829b54c,1165,839f706
ad3fb1d,57,07d3b4c,48,43,ad3fb1d,1108,839f706
72f70a5,58,12cbcd4,53,43,72f70a5,1343,839f706
1fd2b74,47,07d3b4c,48,43,1fd2b74,1698,839f706
8be5b5f,49,5c9acb2,48,43,5c9acb2,1628,839f706
77f3cb6,43,e2d76fc,47,43,e2d76fc,1564,839f706
7123d1e,57,c1c0816,54,43,c1c0816,773,839f706
4dadbd6,59,b55d7a5,41,43,4dadbd6,952,839f706
ccb82b4,49,4407543,57,43,4407543,1013,839f706
f1cef39,52,571d77f,57,43,571d77f,1143,839f706
dab6263,54,5a3cf5a,52,43,dab6263,1211,839f706
eaf0a64,55,71ed67e,46,43,eaf0a64,903,839f706
7123d1e,57,4dadbd6,59,43,4dadbd6,1889,839f706
d291232,42,07d3b4c,48,43,d291232,2361,839f706
ad3fb1d,57,f629396,43,43,ad3fb1d,888,839f706
5e4f71f,50,15cba54,54,43,15cba54,1543,839f706
b7fbb63,49,e2d76fc,47,43,b7fbb63,1422,839f706
ccb82b4,49,7b9d268,53,43,7b9d268,1585,839f706
72f70a5,58,5c9acb2,48,43,72f70a5,1782,839f706
104993d,40,4f19777,54,43,4f19777,1465,839f706
77f3cb6,43,7d632e6,40,43,77f3cb6,1339,839f706
df3e7db,49,7d632e6,40,43,df3e7db,1024,839f706
0e79279,42,070af49,51,43,070af49,2030,839f706
5590b54,45,03d9a21,43,43,5590b54,2051,839f706
af47f50,52,78d5230,50,43,af47f50,1964,839f706
5e4f71f,50,d448c23,57,43,d448c23,931,839f706
7d632e6,40,ca3c60c,48,43,ca3c60c,1106,839f706
71ed67e,46,dd6ec2e,56,43,71ed67e,2849,846d0da
d414895,49,17313f1,52,43,17313f1,2671,846d0da
67c4ed4,51,09b8632,42,43,67c4ed4,2143,846d0da
f1cef39,52,55f2a0a,48,43,55f2a0a,2041,846d0da
c2d2915,50,abc8d16,45,43,c2d2915,2337,846d0da
f1053ad,42,1ef3ea4,55,43,1ef3ea4,1912,846d0da
544d7bb,51,d1e2aa7,46,43,d1e2aa7,1673,846d0da
b6ddf20,47,8c4f17a,44,43,b6ddf20,1753,846d0da
a516664,48,d19a74a,52,43,d19a74a,1616,846d0da
e936988,45,7123d1e,57,43,7123d1e,1479,846d0da
ff8036b,49,58bd63b,41,43,ff8036b,1533,846d0da
9b25147,42,67c4ed4,51,43,67c4ed4,1463,846d0da
1ddd049,47,c06b20d,52,43,c06b20d,1625,846d0da
5ca6f11,42,1ef3ea4,55,43,1ef3ea4,1502,846d0da
3fb6c34,48,a067826,40,43,3fb6c34,1493,846d0da
d1a5373,49,8531102,40,43,d1a5373,1327,846d0da
21da531,42,8531102,40,43,21da531,1494,846d0da
0e79279,42,1d6becd,58,43,1d6becd,1401,846d0da
5590b54,45,1ddd049,47,43,5590b54,1584,846d0da
1fd2b74,47,b000bdb,56,43,b000bdb,1946,846d0da
4dadbd6,59,df3e7db,49,43,4dadbd6,1430,846d0da
40821ff,53,d291232,42,43,40821ff,1371,846d0da
1fd2b74,47,1089ff8,44,43,1fd2b74,3400,846d0da
af47f50,52,29eb961,47,43,af47f50,1915,846d0da
0209154,46,8be5b5f,49,43,0209154,2134,846d0da
8e8839f,55,7416860,44,43,8e8839f,1644,846d0da
070af49,51,5266845,55,43,5266845,1572,846d0da
b473d95,41,f266d1c,46,43,b473d95,1819,846d0da
b7fbb63,49,4cead13,47,43,b7fbb63,1769,846d0da
d0fcb39,51,26ec773,59,43,26ec773,2505,846d0da
141e152,55,1da0ccb,45,43,141e152,1414,846d0da
d19a74a,52,4407543,57,43,d19a74a,1838,846d0da
71ed67e,46,f341e75,47,43,71ed67e,2619,846d0da
ffc3c60,45,77f3cb6,43,43,ffc3c60,1493,846d0da
0209154,46,c1c0816,54,43,c1c0816,2103,846d0da
7123d1e,57,09b8632,42,43,7123d1e,1318,846d0da
8c4f17a,44,71cd20b,42,43,8c4f17a,1373,846d0da
77f3cb6,43,ac3e2b8,44,43,ac3e2b8,1618,846d0da
5be8cb6,46,9ff2ef4,40,43,5be8cb6,1441,846d0da
ca3c60c,48,71cd20b,42,43,ca3c60c,1629,846d0da
d5d52d9,40,7f70b83,45,43,7f70b83,2130,846d0da
f629396,43,38bab66,59,43,38bab66,1320,846d0da
d39e918,57,c06b20d,52,43,d39e918,1805,846d0da
fd66108,50,49e7698,48,43,fd66108,1435,846d0da
bd2dcb2,57,2d3f366,58,43,bd2dcb2,1753,846d0da
eb7c9e9,50,7237f35,43,43,eb7c9e9,1632,846d0da
40821ff,53,29eb961,47,43,40821ff,1310,846d0da
5f1584f,55,d448c23,57,43,5f1584f,1506,846d0da
070af49,51,8c4f17a,44,43,070af49,2564,846d0da
bd2dcb2,57,d555e81,43,43,bd2dcb2,1318,846d0da
a516664,48,12cbcd4,53,43,12cbcd4,2277,846d0da
52cb3b6,53,71ed67e,46,43,52cb3b6,1370,846d0da
21da531,42,4bf01f4,40,43,21da531,1730,846d0da
5c9acb2,48,b55d7a5,41,43,5c9acb2,1550,846d0da
5e4f71f,50,15cba54,54,43,5e4f71f,1634,846d0da
d1a5373,49,5d9c0d2,41,43,d1a5373,1541,846d0da
78d5230,50,829b54c,52,43,829b54c,2065,846d0da
426f1c9,53,1089ff8,44,43,426f1c9,1481,846d0da
b7fe47e,51,f6fa87d,54,43,f6fa87d,2702,846d0da
c2d2915,50,4220ef1,46,43,c2d2915,1374,846d0da
2959e72,56,3c9e674,58,43,2959e72,1515,846d0da
847dbfa,49,7416860,44,43,847dbfa,1570,846d0da
d1e6930,55,29eb961,47,43,d1e6930,1525,846d0da
847dbfa,49,b6ddf20,47,43,b6ddf20,1344,846d0da
0e79279,42,40821ff,53,43,40821ff,1342,846d0da
b7fbb63,49,5ca6f11,42,43,b7fbb63,1807,846d0da
8be5b5f,49,b0fc39e,42,43,b0fc39e,2643,846d0da
f4f3eae,58,b0fc39e,42,43,f4f3eae,1679,846d0da
e2d76fc,47,b55d7a5,41,43,e2d76fc,1542,846d0da
7237f35,43,8a30726,59,43,8a30726,1382,846d0da
6149c98,55,d291232,42,43,6149c98,1331,846d0da
4220ef1,46,9e2c8cc,44,43,9e2c8cc,2328,846d0da
5d9c0d2,41,d414895,49,43,d414895,1609,846d0da
d1e2aa7,46,31dcc37,57,43,31dcc37,1506,846d0da
53b7eea,48,31dcc37,57,43,53b7eea,2436,846d0da
b7fbb63,49,d1e6930,55,43,d1e6930,1497,846d0da
4bf01f4,40,79472c9,56,43,79472c9,1853,846d0da
caf5c8c,52,53b7eea,48,43,caf5c8c,1632,846d0da
afcdfcc,54,2d026e6,46,43,afcdfcc,1687,846d0da
04ef283,44,f4f3eae,58,43,04ef283,1769,846d0da
52cb3b6,53,7f70b83,45,43,52cb3b6,1403,846d0da
1d6becd,58,d414895,49,43,1d6becd,1496,846d0da
d7a6bde,54,d291232,42,43,d7a6bde,2799,846d0da
4dadbd6,59,d19a74a,52,43,4dadbd6,1324,846d0da
52cb3b6,53,847dbfa,49,43,52cb3b6,1497,846d0da
8bf72ba,55,4c0b7b4,48,43,8bf72ba,2620,846d0da
89f9ecd,51,f0454b2,53,43,89f9ecd,1705,846d0da
b7fe47e,51,c605647,50,43,b7fe47e,2066,846d0da
afcdfcc,54,78d5230,50,43,afcdfcc,1793,846d0da
40821ff,53,abc8d16,45,43,40821ff,1542,846d0da
f629396,43,c2d2915,50,43,c2d2915,1708,846d0da
544d7bb,51,3c25a5f,50,43,3c25a5f,1705,846d0da
461e8e6,56,514deba,57,43,461e8e6,1447,846d0da
7264850,43,71ed67e,46,43,7264850,2143,846d0da
dab6263,54,09b8632,42,43,dab6263,1613,846d0da
0209154,46,9415c1b,59,43,9415c1b,1605,846d0da
f16cdbb,47,d15549d,53,43,d15549d,1641,846d0da
701c236,45,005ec59,43,43,701c236,1940,846d0da
ad3fb1d,57,f629396,43,43,ad3fb1d,1397,846d0da
78d5230,50,b0fc39e,42,43,78d5230,1651,846d0da
72f70a5,58,4a8deb6,56,43,4a8deb6,1370,03722a5
a3f9317,50,af47f50,52,43,af47f50,1532,03722a5
ad3fb1d,57,d15549d,53,43,ad3fb1d,1958,03722a5
c06b20d,52,dd6ec2e,56,43,c06b20d,2126,03722a5
b7fbb63,49,0687f54,45,43,0687f54,1524,03722a5
5c9acb2,48,9e2c8cc,44,43,5c9acb2,1545,03722a5
4dadbd6,59,89f9ecd,51,43,89f9ecd,1811,03722a5
ac0bc6c,59,71ed67e,46,43,71ed67e,1375,03722a5
6149c98,55,c2d2915,50,43,c2d2915,1253,03722a5
788a11a,53,71cd20b,42,43,788a11a,997,03722a5
21da531,42,3fb6c34,48,43,3fb6c34,1074,03722a5
cef1725,42,d5d52d9,40,43,cef1725,1195,03722a5
f1cef39,52,571d77f,57,43,571d77f,2149,03722a5
d0fcb39,51,4ae0e82,49,43,d0fcb39,1734,03722a5
e2d76fc,47,7fdf8e3,41,43,e2d76fc,1757,03722a5
f6fa87d,54,8a30726,59,43,8a30726,1270,03722a5
dab6263,54,29f7506,50,43,dab6263,1583,03722a5
7264850,43,31dcc37,57,43,31dcc37,1578,03722a5
f629396,43,d414895,49,43,d414895,2015,03722a5
ac3e2b8,44,2302188,57,43,2302188,1667,03722a5
985983b,43,7fdf8e3,41,43,985983b,1024,03722a5
40821ff,53,29eb961,47,43,40821ff,1929,03722a5
544d7bb,51,2d026e6,46,43,2d026e6,1118,03722a5
af47f50,52,4407543,57,43,af47f50,1554,03722a5
b473d95,41,c2d2915,50,43,c2d2915,1237,03722a5
7416860,44,323d673,52,43,7416860,1011,03722a5
d39e918,57,c605647,50,43,d39e918,1227,03722a5
7237f35,43,78d5230,50,43,78d5230,1054,03722a5
d1e2aa7,46,d47fb26,56,43,d47fb26,1637,03722a5
9415c1b,59,293bea0,58,43,9415c1b,1227,03722a5
e936988,45,323d673,52,43,323d673,2774,03722a5
