subject,age,delta,accuracy,rt,age_group
839f706,43,14,TRUE,2073,40-50
839f706,43,11,TRUE,1458,40-50
839f706,43,16,TRUE,1084,40-50
839f706,43,2,FALSE,1928,40-50
839f706,43,13,TRUE,1160,40-50
839f706,43,2,TRUE,1332,40-50
839f706,43,1,FALSE,1836,40-50
839f706,43,7,TRUE,1381,40-50
839f706,43,7,TRUE,1232,40-50
839f706,43,2,TRUE,1357,40-50
839f706,43,19,TRUE,1058,40-50
839f706,43,12,TRUE,837,40-50
839f706,43,1,FALSE,1712,40-50
839f706,43,11,TRUE,1131,40-50
839f706,43,16,TRUE,1275,40-50
839f706,43,8,TRUE,1784,40-50
839f706,43,8,TRUE,982,40-50
839f706,43,6,TRUE,1242,40-50
839f706,43,4,TRUE,1061,40-50
839f706,43,5,TRUE,2155,40-50
839f706,43,7,TRUE,951,40-50
839f706,43,13,TRUE,1573,40-50
839f706,43,5,FALSE,1544,40-50
839f706,43,1,FALSE,1964,40-50
839f706,43,9,FALSE,1654,40-50
839f706,43,4,TRUE,1823,40-50
839f706,43,8,TRUE,2129,40-50
839f706,43,9,TRUE,1624,40-50
839f706,43,2,TRUE,2574,40-50
839f706,43,2,FALSE,1344,40-50
839f706,43,12,TRUE,1352,40-50
839f706,43,4,TRUE,1549,40-50
839f706,43,2,TRUE,2498,40-50
839f706,43,17,TRUE,2272,40-50
839f706,43,7,FALSE,1909,40-50
839f706,43,12,TRUE,1509,40-50
839f706,43,9,TRUE,1155,40-50
839f706,43,7,TRUE,1050,40-50
839f706,43,10,TRUE,1273,40-50
839f706,43,1,TRUE,1846,40-50
839f706,43,9,TRUE,1074,40-50
839f706,43,5,TRUE,2705,40-50
839f706,43,6,TRUE,1507,40-50
839f706,43,7,FALSE,2108,40-50
839f706,43,3,TRUE,2637,40-50
839f706,43,3,TRUE,1168,40-50
839f706,43,8,TRUE,941,40-50
839f706,43,1,TRUE,1706,40-50
839f706,43,13,TRUE,1548,40-50
839f706,43,4,TRUE,1275,40-50
839f706,43,16,TRUE,1026,40-50
839f706,43,12,TRUE,790,40-50
839f706,43,18,TRUE,869,40-50
839f706,43,15,TRUE,898,40-50
839f706,43,4,FALSE,2320,40-50
839f706,43,3,TRUE,1854,40-50
839f706,43,9,TRUE,2116,40-50
839f706,43,4,TRUE,1569,40-50
839f706,43,10,TRUE,1464,40-50
839f706,43,9,TRUE,1133,40-50
839f706,43,2,TRUE,1413,40-50
839f706,43,1,TRUE,1939,40-50
839f706,43,2,TRUE,2102,40-50
839f706,43,5,TRUE,983,40-50
