subject,gender,age,list,item,response
s01,male,23,1,hate,4
s01,male,23,1,calm,1
s01,male,23,1,anger,2
s01,male,23,1,hatred,1
s01,male,23,1,enrage,1
s01,male,23,1,fight,3
s01,male,23,1,fury,4
s01,male,23,1,temper,2
s01,male,23,1,ire,1
s01,male,23,1,mad,4
s01,male,23,2,over,NA
s01,male,23,2,airplane,NA
s01,male,23,2,dive,NA
s01,male,23,2,jump,NA
s01,male,23,2,cliff,NA
s01,male,23,2,sky,NA
s01,male,23,2,up,NA
s01,male,23,2,high,NA
s01,male,23,2,tall,NA
s01,male,23,2,clouds,NA
s02,male,24,1,hate,4
s02,male,24,1,calm,1
s02,male,24,1,anger,4
s02,male,24,1,hatred,3
s02,male,24,1,enrage,1
s02,male,24,1,fight,4
s02,male,24,1,fury,4
s02,male,24,1,temper,4
s02,male,24,1,ire,1
s02,male,24,1,mad,4
s02,male,24,2,over,NA
s02,male,24,2,airplane,NA
s02,male,24,2,dive,NA
s02,male,24,2,jump,NA
s02,male,24,2,cliff,NA
s02,male,24,2,sky,NA
s02,male,24,2,up,NA
s02,male,24,2,high,NA
s02,male,24,2,tall,NA
s02,male,24,2,clouds,NA
s03,female,27,1,hate,4
s03,female,27,1,calm,1
s03,female,27,1,anger,4
s03,female,27,1,hatred,1
s03,female,27,1,enrage,1
s03,female,27,1,fight,4
s03,female,27,1,fury,1
s03,female,27,1,temper,4
s03,female,27,1,ire,2
s03,female,27,1,mad,1
s03,female,27,2,over,NA
s03,female,27,2,airplane,NA
s03,female,27,2,dive,NA
s03,female,27,2,jump,NA
s03,female,27,2,cliff,NA
s03,female,27,2,sky,NA
s03,female,27,2,up,NA
s03,female,27,2,high,NA
s03,female,27,2,tall,NA
s03,female,27,2,clouds,NA
s04,male,23,1,hate,1
s04,male,23,1,calm,4
s04,male,23,1,anger,3
s04,male,23,1,hatred,2
s04,male,23,1,enrage,1
s04,male,23,1,fight,4
s04,male,23,1,fury,3
s04,male,23,1,temper,4
s04,male,23,1,ire,1
s04,male,23,1,mad,4
s04,male,23,2,over,NA
s04,male,23,2,airplane,NA
s04,male,23,2,dive,NA
s04,male,23,2,jump,NA
s04,male,23,2,cliff,NA
s04,male,23,2,sky,NA
s04,male,23,2,up,NA
s04,male,23,2,high,NA
s04,male,23,2,tall,NA
s04,male,23,2,clouds,NA
s05,male,23,1,hate,4
s05,male,23,1,calm,1
s05,male,23,1,anger,4
s05,male,23,1,hatred,3
s05,male,23,1,enrage,1
s05,male,23,1,fight,4
s05,male,23,1,fury,4
s05,male,23,1,temper,1
s05,male,23,1,ire,1
s05,male,23,1,mad,3
s05,male,23,2,over,NA
s05,male,23,2,airplane,NA
s05,male,23,2,dive,NA
s05,male,23,2,jump,NA
s05,male,23,2,cliff,NA
s05,male,23,2,sky,NA
s05,male,23,2,up,NA
s05,male,23,2,high,NA
s05,male,23,2,tall,NA
s05,male,23,2,clouds,NA
s06,female,23,1,hate,4
s06,female,23,1,calm,1
s06,female,23,1,anger,2
s06,female,23,1,hatred,1
s06,female,23,1,enrage,3
s06,female,23,1,fight,4
s06,female,23,1,fury,4
s06,female,23,1,temper,4
s06,female,23,1,ire,1
s06,female,23,1,mad,4
s06,female,23,2,over,NA
s06,female,23,2,airplane,NA
s06,female,23,2,dive,NA
s06,female,23,2,jump,NA
s06,female,23,2,cliff,NA
s06,female,23,2,sky,NA
s06,female,23,2,up,NA
s06,female,23,2,high,NA
s06,female,23,2,tall,NA
s06,female,23,2,clouds,NA
s07,female,27,1,hate,1
s07,female,27,1,calm,1
s07,female,27,1,anger,1
s07,female,27,1,hatred,1
s07,female,27,1,enrage,1
s07,female,27,1,fight,4
s07,female,27,1,fury,4
s07,female,27,1,temper,4
s07,female,27,1,ire,1
s07,female,27,1,mad,4
s07,female,27,2,over,NA
s07,female,27,2,airplane,NA
s07,female,27,2,dive,NA
s07,female,27,2,jump,NA
s07,female,27,2,cliff,NA
s07,female,27,2,sky,NA
s07,female,27,2,up,NA
s07,female,27,2,high,NA
s07,female,27,2,tall,NA
s07,female,27,2,clouds,NA
s08,male,28,1,hate,4
s08,male,28,1,calm,1
s08,male,28,1,anger,4
s08,male,28,1,hatred,1
s08,male,28,1,enrage,1
s08,male,28,1,fight,4
s08,male,28,1,fury,1
s08,male,28,1,temper,4
s08,male,28,1,ire,1
s08,male,28,1,mad,4
s08,male,28,2,over,NA
s08,male,28,2,airplane,NA
s08,male,28,2,dive,NA
s08,male,28,2,jump,NA
s08,male,28,2,cliff,NA
s08,male,28,2,sky,NA
s08,male,28,2,up,NA
s08,male,28,2,high,NA
s08,male,28,2,tall,NA
s08,male,28,2,clouds,NA
s09,male,21,1,hate,1
s09,male,21,1,calm,4
s09,male,21,1,anger,1
s09,male,21,1,hatred,4
s09,male,21,1,enrage,4
s09,male,21,1,fight,1
s09,male,21,1,fury,1
s09,male,21,1,temper,1
s09,male,21,1,ire,4
s09,male,21,1,mad,1
s09,male,21,2,over,NA
s09,male,21,2,airplane,NA
s09,male,21,2,dive,NA
s09,male,21,2,jump,NA
s09,male,21,2,cliff,NA
s09,male,21,2,sky,NA
s09,male,21,2,up,NA
s09,male,21,2,high,NA
s09,male,21,2,tall,NA
s09,male,21,2,clouds,NA
s10,female,24,1,hate,4
s10,female,24,1,calm,1
s10,female,24,1,anger,4
s10,female,24,1,hatred,2
s10,female,24,1,enrage,1
s10,female,24,1,fight,4
s10,female,24,1,fury,4
s10,female,24,1,temper,4
s10,female,24,1,ire,1
s10,female,24,1,mad,2
s10,female,24,2,over,NA
s10,female,24,2,airplane,NA
s10,female,24,2,dive,NA
s10,female,24,2,jump,NA
s10,female,24,2,cliff,NA
s10,female,24,2,sky,NA
s10,female,24,2,up,NA
s10,female,24,2,high,NA
s10,female,24,2,tall,NA
s10,female,24,2,clouds,NA
s11,male,23,1,hate,2
s11,male,23,1,calm,1
s11,male,23,1,anger,1
s11,male,23,1,hatred,1
s11,male,23,1,enrage,1
s11,male,23,1,fight,4
s11,male,23,1,fury,4
s11,male,23,1,temper,4
s11,male,23,1,ire,1
s11,male,23,1,mad,4
s11,male,23,2,over,NA
s11,male,23,2,airplane,NA
s11,male,23,2,dive,NA
s11,male,23,2,jump,NA
s11,male,23,2,cliff,NA
s11,male,23,2,sky,NA
s11,male,23,2,up,NA
s11,male,23,2,high,NA
s11,male,23,2,tall,NA
s11,male,23,2,clouds,NA
s12,female,20,1,hate,4
s12,female,20,1,calm,1
s12,female,20,1,anger,3
s12,female,20,1,hatred,1
s12,female,20,1,enrage,1
s12,female,20,1,fight,4
s12,female,20,1,fury,4
s12,female,20,1,temper,4
s12,female,20,1,ire,1
s12,female,20,1,mad,4
s12,female,20,2,over,NA
s12,female,20,2,airplane,NA
s12,female,20,2,dive,NA
s12,female,20,2,jump,NA
s12,female,20,2,cliff,NA
s12,female,20,2,sky,NA
s12,female,20,2,up,NA
s12,female,20,2,high,NA
s12,female,20,2,tall,NA
s12,female,20,2,clouds,NA
s13,female,21,1,hate,3
s13,female,21,1,calm,1
s13,female,21,1,anger,4
s13,female,21,1,hatred,2
s13,female,21,1,enrage,1
s13,female,21,1,fight,4
s13,female,21,1,fury,4
s13,female,21,1,temper,4
s13,female,21,1,ire,1
s13,female,21,1,mad,4
s13,female,21,2,over,NA
s13,female,21,2,airplane,NA
s13,female,21,2,dive,NA
s13,female,21,2,jump,NA
s13,female,21,2,cliff,NA
s13,female,21,2,sky,NA
s13,female,21,2,up,NA
s13,female,21,2,high,NA
s13,female,21,2,tall,NA
s13,female,21,2,clouds,NA
s14,female,21,1,hate,4
s14,female,21,1,calm,1
s14,female,21,1,anger,4
s14,female,21,1,hatred,1
s14,female,21,1,enrage,1
s14,female,21,1,fight,4
s14,female,21,1,fury,4
s14,female,21,1,temper,1
s14,female,21,1,ire,1
s14,female,21,1,mad,1
s14,female,21,2,over,NA
s14,female,21,2,airplane,NA
