index,value,year,month
Jan 1920,40.6,1920,1
Feb 1920,40.8,1920,2
Mar 1920,44.4,1920,3
Apr 1920,46.7,1920,4
May 1920,54.1,1920,5
Jun 1920,58.5,1920,6
Jul 1920,57.7,1920,7
Aug 1920,56.4,1920,8
Sep 1920,54.3,1920,9
Oct 1920,50.5,1920,10
Nov 1920,42.9,1920,11
Dec 1920,39.8,1920,12
Jan 1921,44.2,1921,1
Feb 1921,39.8,1921,2
Mar 1921,45.1,1921,3
Apr 1921,47,1921,4
May 1921,54.1,1921,5
Jun 1921,58.7,1921,6
Jul 1921,66.3,1921,7
Aug 1921,59.9,1921,8
Sep 1921,57,1921,9
Oct 1921,54.2,1921,10
Nov 1921,39.7,1921,11
Dec 1921,42.8,1921,12
Jan 1922,37.5,1922,1
Feb 1922,38.7,1922,2
Mar 1922,39.5,1922,3
Apr 1922,42.1,1922,4
May 1922,55.7,1922,5
Jun 1922,57.8,1922,6
Jul 1922,56.8,1922,7
Aug 1922,54.3,1922,8
Sep 1922,54.3,1922,9
Oct 1922,47.1,1922,10
Nov 1922,41.8,1922,11
Dec 1922,41.7,1922,12
Jan 1923,41.8,1923,1
Feb 1923,40.1,1923,2
Mar 1923,42.9,1923,3
Apr 1923,45.8,1923,4
May 1923,49.2,1923,5
Jun 1923,52.7,1923,6
Jul 1923,64.2,1923,7
Aug 1923,59.6,1923,8
Sep 1923,54.4,1923,9
Oct 1923,49.2,1923,10
Nov 1923,36.3,1923,11
Dec 1923,37.6,1923,12
Jan 1924,39.3,1924,1
Feb 1924,37.5,1924,2
Mar 1924,38.3,1924,3
Apr 1924,45.5,1924,4
May 1924,53.2,1924,5
Jun 1924,57.7,1924,6
Jul 1924,60.8,1924,7
Aug 1924,58.2,1924,8
Sep 1924,56.4,1924,9
Oct 1924,49.8,1924,10
Nov 1924,44.4,1924,11
Dec 1924,43.6,1924,12
Jan 1925,40,1925,1
Feb 1925,40.5,1925,2
Mar 1925,40.8,1925,3
Apr 1925,45.1,1925,4
May 1925,53.8,1925,5
Jun 1925,59.4,1925,6
Jul 1925,63.5,1925,7
Aug 1925,61,1925,8
Sep 1925,53,1925,9
Oct 1925,50,1925,10
Nov 1925,38.1,1925,11
Dec 1925,36.3,1925,12
Jan 1926,39.2,1926,1
Feb 1926,43.4,1926,2
Mar 1926,43.4,1926,3
Apr 1926,48.9,1926,4
May 1926,50.6,1926,5
Jun 1926,56.8,1926,6
Jul 1926,62.5,1926,7
Aug 1926,62,1926,8
Sep 1926,57.5,1926,9
Oct 1926,46.7,1926,10
Nov 1926,41.6,1926,11
Dec 1926,39.8,1926,12
Jan 1927,39.4,1927,1
Feb 1927,38.5,1927,2
Mar 1927,45.3,1927,3
Apr 1927,47.1,1927,4
May 1927,51.7,1927,5
Jun 1927,55,1927,6
Jul 1927,60.4,1927,7
Aug 1927,60.5,1927,8
Sep 1927,54.7,1927,9
Oct 1927,50.3,1927,10
Nov 1927,42.3,1927,11
Dec 1927,35.2,1927,12
Jan 1928,40.8,1928,1
Feb 1928,41.1,1928,2
Mar 1928,42.8,1928,3
Apr 1928,47.3,1928,4
May 1928,50.9,1928,5
Jun 1928,56.4,1928,6
Jul 1928,62.2,1928,7
Aug 1928,60.5,1928,8
Sep 1928,55.4,1928,9
Oct 1928,50.2,1928,10
Nov 1928,43,1928,11
Dec 1928,37.3,1928,12
Jan 1929,34.8,1929,1
Feb 1929,31.3,1929,2
Mar 1929,41,1929,3
Apr 1929,43.9,1929,4
May 1929,53.1,1929,5
Jun 1929,56.9,1929,6
Jul 1929,62.5,1929,7
Aug 1929,60.3,1929,8
Sep 1929,59.8,1929,9
Oct 1929,49.2,1929,10
Nov 1929,42.9,1929,11
Dec 1929,41.9,1929,12
Jan 1930,41.6,1930,1
Feb 1930,37.1,1930,2
Mar 1930,41.2,1930,3
Apr 1930,46.9,1930,4
May 1930,51.2,1930,5
Jun 1930,60.4,1930,6
Jul 1930,60.1,1930,7
Aug 1930,61.6,1930,8
Sep 1930,57,1930,9
Oct 1930,50.9,1930,10
Nov 1930,43,1930,11
Dec 1930,38.8,1930,12
Jan 1931,37.1,1931,1
Feb 1931,38.4,1931,2
Mar 1931,38.4,1931,3
Apr 1931,46.5,1931,4
May 1931,53.5,1931,5
Jun 1931,58.4,1931,6
Jul 1931,60.6,1931,7
Aug 1931,58.2,1931,8
Sep 1931,53.8,1931,9
Oct 1931,46.6,1931,10
Nov 1931,45.5,1931,11
Dec 1931,40.6,1931,12
Jan 1932,42.4,1932,1
Feb 1932,38.4,1932,2
Mar 1932,40.3,1932,3
Apr 1932,44.6,1932,4
May 1932,50.9,1932,5
Jun 1932,57,1932,6
Jul 1932,62.1,1932,7
Aug 1932,63.5,1932,8
Sep 1932,56.3,1932,9
Oct 1932,47.3,1932,10
Nov 1932,43.6,1932,11
Dec 1932,41.8,1932,12
Jan 1933,36.2,1933,1
Feb 1933,39.3,1933,2
Mar 1933,44.5,1933,3
Apr 1933,48.7,1933,4
May 1933,54.2,1933,5
Jun 1933,60.8,1933,6
Jul 1933,65.5,1933,7
Aug 1933,64.9,1933,8
Sep 1933,60.1,1933,9
Oct 1933,50.2,1933,10
Nov 1933,42.1,1933,11
Dec 1933,35.8,1933,12
Jan 1934,39.4,1934,1
Feb 1934,38.2,1934,2
Mar 1934,40.4,1934,3
Apr 1934,46.9,1934,4
May 1934,53.4,1934,5
Jun 1934,59.6,1934,6
Jul 1934,66.5,1934,7
